image,group,method,green_dx,green_dy,red_dx,red_dy,seconds
cathedral,provided,single,2,5,3,12,0.158
cathedral,provided,pyramid,2,5,3,12,0.066
church,provided,pyramid,4,25,-4,59,0.405
emir,provided,pyramid,24,49,-204,141,0.378
harvesters,provided,pyramid,17,60,13,124,0.372
icon,provided,pyramid,17,41,23,89,0.457
ilemselga,provided,pyramid,7,40,11,130,0.554
melons,provided,pyramid,10,81,13,178,0.402
monastery,provided,single,2,-3,2,3,0.157
monastery,provided,pyramid,2,-3,2,3,0.075
religous_painting,provided,pyramid,3,28,7,68,0.383
self_portrait,provided,pyramid,29,79,37,176,0.39
siren,provided,pyramid,-6,49,-25,96,0.438
three_generations,provided,pyramid,14,53,11,112,0.372
tobolsk,provided,single,3,3,3,6,0.155
tobolsk,provided,pyramid,3,3,3,6,0.066
wharf,provided,pyramid,-7,15,-16,83,0.429
calligonum,extra,pyramid,0,4,-1,10,0.069
desert_tracks,extra,pyramid,2,5,2,12,0.067
evening,extra,pyramid,4,4,7,10,0.067
